"Country","Name","Race","Profession","Religion","Deity","Age","Date"
"Sa'á Allaqí","Darkhunnu Joger","H","Priest","Stability","One of Light","Unk","2354 AS"
"Sa'á Allaqí","Dekarlikh","H","Warrior-Priest","Stability","One of Light",28,"2354 AS"
"Sa'á Allaqí","Díu hiHrútra","H","Soldier","Change","Chiténg",16,"2354 AS"
"Sa'á Allaqí","Frás Qá","H","Committeeman-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Gérkas Vishétru","H","Lord-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Hása Burái","H","Chieftain-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Iwáu Aé'eyá","Hláka","Soldier","Hláka","Unk","Unk","2360 AS"
"Sa'á Allaqí","Kadlan Dio","H","Teacher","Unk","Unk",23,"2354 AS"
"Sa'á Allaqí","Kéng Hrútra","H","Lord-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Kurudái","H","Lord-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Miu Lai Neo","H","Sorcerer","Stability","One of Light",27,"2354 AS"
"Sa'á Allaqí","Mnétao Vishétru","H","Lord-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Mridan Vishetru","H","Lord","Stability","One of Light",19,"2354 AS"
"Sa'á Allaqí","Nalokweya Qu'a","H","Clan Elder","Unk","Unk",32,"2354 AS"
"Sa'á Allaqí","Síu Káing","H","Lord-Soldier","Unk","Unk","Unk","2360 AS"
"Sa'á Allaqí","Vríssa Vishétru","H","Princess","Stability","One of Light",32,"2354 AS"
"Salarvyá","Allumér Nektómmu","H","Soldier","Unk","Unk","Unk","2360 AS"
"Salarvyá","Arjuggash Harukku","H","Warrior","Unk","Unk",32,"2354 AS"
"Salarvyá","Balachyéshmu Niriyágga","H","Official (Nimóllu)","Unk","Unk","Unk","2374 AS"
"Salarvyá","Banattárga Varékha","H","Oligarch (Retsúllu)","Unk","Unk","Unk","2374 AS"
"Salarvyá","Bechagga Dzuvayya","H","Courtesan","?","Shiringgáyi",22,"2354 AS"
"Salarvyá","Bejjéksa","H","Merchant","Unk","Unk","Unk","2354 AS"
"Salarvyá","Burrudnákha Visól","H","Soldier-Hero","Unk","Unk","Unk","-3589 AS"
"Salarvyá","Charodáqqu Shiggashko'ónmu","H","Priest","Stability","Mrettén","Unk","2374 AS"
"Salarvyá","Chegreshmu Tukkushshaürü","H","Soldier","Change","Durritlámish",32,"2374 AS"
"Salarvyá","Chekwtládu","H","Prince-Soldier","Unk","Unk","Unk","2360 AS"
"Salarvyá","Chgayar Dleru Thirreqúmmu","H","Princess","?","Shiringgáyi",18,"2354 AS"
"Salarvyá","Chikarja Shiggashko'ónmu","H","Unk","Unk","Unk",21,"2354 AS"
"Salarvyá","Chnaiga Chrayyarrksha","H","Priest","?","Shiringgáyi",32,"2354 AS"
"Salarvyá","Chuggillishmayul Vringgamuluk","H","Ruler (Shíggath)","Unk","Unk","Unk","2374 AS"
"Salarvyá","Churrugteshmu Gaggalmiké","H","Merchant","Unk","Unk","Unk","2354 AS"
"Salarvyá","Daggála Mukrotórr","H","Scholar","Unk","Unk","Unk","Unk"
"Salarvyá","Dnálegh Varrám Odréng","H","Official","Unk","Unk","Unk","2374 AS"
"Salarvyá","Dreshshélmü Dirritsáme","H","Lord","Unk","Unk","Unk","2367 AS"
"Salarvyá","Driggulúnnu","H","Lord-Soldier","Unk","Unk","Unk","2360 AS"
"Salarvyá","Durritu'úna Gürrüshyúgga","H","Lord-Soldier","Change","Black Qárqa","Unk","2367 AS"
"Salarvyá","Dza'íth Péllu","H","Slave","Unk","Unk","Unk","2374 AS"
"Salarvyá","Dzonnur Melleshsha","H","Soldier","?","Shiringgáyi",23,"2354 AS"
"Salarvyá","Edlúchcho Suzhán","H","Weapon Instructor","Unk","Unk","Unk","2354 AS"
"Salarvyá","Faréssu Mirridái","H","Sailor","Unk","Unk","Unk","2374 AS"
"Salarvyá","Fayés Murúggma","H","Writer","Unk","Unk","Unk","2360 AS"
"Salarvyá","Firringáqmu Di'ibála","H","Lord","Unk","Unk","Unk","2374 AS"
"Salarvyá","Ghe'lek Jajjai","H","Unk","Unk","Unk","Unk","2354 AS"
"Salarvyá","Goggalmike Churrugteshmu","H","Merchant","?","Shiringgáyi",21,"2354 AS"
"Salarvyá","Góridza Khu'úmené","H","King","Unk","Unk","Unk","1374 AS"
"Salarvyá","Greshtlá'úna Daqráshqiné","H","Aridáni Soldier","Unk","Unk","Unk","2374 AS"
"Salarvyá","Griggatsétsa Chruggílléshmu","H","Mad King","Unk","Unk","Dead","2373 AS"
"Salarvyá","Gürrüshánmül","H","Primal Ancestor of the Lineage","Unk","Unk","Unk","Unk"
"Salarvyá","Gyekkudlárru Murrisáda","H","Official","Unk","Unk","Unk","2374 AS"
"Salarvyá","Gyúsh Suzhán","H","Weapon Instructor","Unk","Unk","Unk","2354 AS"
"Salarvyá","Horrükhü Jaggäsh","H","Unk","Unk","Unk","Unk","2362 AS"
"Salarvyá","Jíchka Dzekkága","H","Artist","Unk","Unk","Unk","2360 AS"
"Salarvyá","Kechkúgga Láchish","H","Ruler (Fort Órmichash)","Unk","Unk","Dead","2373 AS"
"Salarvyá","Kurek Tiqinnu Thirreqúmmu","H","Lord","Unk","Unk","Unk","2360 AS"
"Salarvyá","Kúrru Di'ibála","H","Soldier (deceased)","Unk","Unk","Dead","2374 AS"
"Salarvyá","Marzhák Thirreqúmmu","H","Lord","Unk","Unk","Unk","2374 AS"
"Salarvyá","Meshshútla Di'ibála","H","Official","Unk","Unk","Unk","2374 AS"
"Salarvyá","Menrin","H","Priestess","?","Shiringgáyi","Unk","2374 AS"
"Salarvyá","Miridakche Abbesra","H","Guard","Unk","Unk",28,"2354 AS"
"Salarvyá","M'r Chss","H","Soldier","?","Shiringgáyi",32,"2354 AS"
"Salarvyá","Némmuru Vaggáda","H","Official","Unk","Unk","Unk","2374 AS"
"Salarvyá","Nikkutléshshu Valeshyégga","H","Unk","Unk","Unk","Unk","2374 AS"
"Salarvyá","Njurja Gazhzka","H","Warrior","?","Shiringgáyi",30,"2354 AS"
"Salarvyá","Norréshshu Várdla","H","Soldier","Unk","Unk","Unk","2374 AS"
"Salarvyá","Nráyen Láchish","H","Lady","Unk","Unk","Unk","2374 AS"
"Salarvyá","Nráyen Di'éla (alias of Nráyen)","H","Lady","Unk","Unk","Unk","2374 AS"
"Salarvyá","Nzutlmanshi Dhrengngommo","H","Rogue","Unk","Unk","Unk","2354 AS"
"Salarvyá","Ovarish Burruggash Thirreqúmmu","H","Lord (Koylúga)","?","Shiringgáyi",29,"2354 AS"
"Salarvyá","Peshshumítru Shiggashko'ónmu","H","Lord (Council of Nobles in Jækánta)","Unk","Unk","Unk","2374 AS"
"Salarvyá","Primú'esh of Jaekánta","H","Scholar","Unk","Unk","Unk","2354 AS"
"Salarvyá","Purutémmu Giyúshsha","H","Mercenary(Retsúllu)","Unk","Unk","Unk","2374 AS"
"Salarvyá","Qaggéshshu Sriggélchu","H","Soldier","Unk","Unk","Unk","2360 AS"
"Salarvyá","Réshma Sharínna","H","Priestess","?","Shiringgáyi","Unk","2374 AS"
"Salarvyá","Schirrínmü Shiggashko'ónmu","H","Lord-Soldier","Unk","Unk","Unk","2374 AS"
"Salarvyá","Shomish Kagai","H","Warrior","Unk","Unk",32,"2354 AS"
"Salarvyá","Snakkasháyyu Chruggilléshmu","H","Lord","Unk","Unk","Unk","2374 AS"
"Salarvyá","Taladléssu Láchish","H","""King"" (Fort Órmichasch)","Unk","Unk","Unk","2373 AS"
"Salarvyá","Tekkümmíkksha","H","Prince","Change","Black Qárqa","Unk","2372 AS"
"Salarvyá","Thurrekáiga Shiggashko'ónmu","H","Lord-Soldier","Unk","Unk","Unk","2374 AS"
"Salarvyá","Thresh'sha'a Ghezhna","H","Priest","Change","Black Qárqa","Unk","2354 AS"
"Salarvyá","Tiqónmu Thirreqúmmu","H","Aridáni Soldier","Unk","Unk","Unk","2360 AS"
"Salarvyá","Tleggáshmu","H","Noble","Unk","Unk","Old","2373 AS"
"Salarvyá","Tsagéshsha","H","Unk","Unk","Unk","Unk","2372 AS"
"Salarvyá","Vindumákh Khekhkhéssa","H","Lord (Council of Nobles)","Unk","Unk","Unk","2374 AS"
"Salarvyá","Vurréshu Thirreqúmmu","H","Priest","Unk","Unk",30,"2354 AS"
"Salarvyá","Vurrighend Khekhessa","H","Priest","Stability","Thúmis","Unk","2354 AS"
"Salarvyá","Zéshsha Tiqinnu Thirreqúmmu","H","Aridáni Soldier","?","Shiringgáyi",40,"2360 AS"
"Salarvyá","Zhurrilúgga Chruggílléshmu","H","Prince","Unk","Unk","Unk","2354 AS"
"Shén","Gug-ssa","Shén","Unk","Change","Hrü'ú",32,"2354 AS"
"Shén","J'grék-Chá","Shén","Diplomat","Shén","Unk","Unk","2374 AS"
"Shén","K'chár-Khá","Shén","Diplomat","Shén","Unk","Unk","2374 AS"
"Shén","M'í Chss","Shén","Warrior","Shén","Unk","Unk","2354 AS"
"Shén","Mrg-nss","Shén","Unk","Shén","Unk",32,"2354 AS"
"Shén","Mrgág-sashrsa","Shén","Soldier","Shén","Unk",32,"2354 AS"
"Shén","Mrgáq Ss-shrsá","Shén","Diplomat","Shén","Unk","Unk","2354 AS"
"Shén","Nkek","Shén","Warrior","Change","Chiténg",32,"2354 AS"
"Shén","Sheku","Shén","Warrior","Change","Grugánu",32,"2354 AS"
"Tsoléi","Alúo of the Red House","H","Pirate-Sailor","Unk","Unk","Unk","2360 AS"
"Tsoléi","Arána of the Coral Crag","H","Pirate-Sailor-Soldier","Unk","Unk","Unk","2360 AS"
"Tsoléi","Arúa of the High Rock House","H","Unk","Unk","Unk","Unk","2367 AS"
"Tsoléi","À-Shg-Ssá","Shén","Soldier","Shén","Unk","Unk","2360 AS"
"Tsoléi","Bea Na","H","Pirate-Sailor-Soldier","Unk","Unk","Unk","2354 AS"
"Tsoléi","Charúna Olái","H","Pirate-Prince (Llü'ür isle)","Unk","Unk","Unk","2360 AS"
"Tsoléi","Cho'le","H","Ruler (Dlakelné Isle)","Unk","Unk",32,"2354 AS"
"Tsoléi","Dái Né of the Granite Cliff","H","Pirate-Ruler (Mní isle)","Unk","Unk","Unk","2360 AS"
"Tsoléi","Dutlór hiSinyála","H","Soldier","Unk","Unk","Unk","2360 AS"
"Tsoléi","Evelúna Olái","H","Son of Charúna","Unk","Unk","Unk","2360 AS"
"Tsoléi","Béa Ná of the Howling Hill","H","Pirate-Sailor-Soldier","Unk","Unk","Unk","2360 AS"
"Tsoléi","Fé Jíla ","H","Soldier (Brákel isle)","Unk","Unk","Unk","2360 AS"
"Tsoléi","Gári of the Opal Sands","H","Ruler (Ku'úl isle)-Pirate-General","Unk","Unk","Unk","2360 AS"
"Tsoléi","Háka of the Green Stone Mansion","H","Ruler (Ríss isle)-Pirate-Prince","Unk","Unk","Unk","2360 AS"
"Tsoléi","Hanelh","H","Sorcerer","Unk","Unk",32,"2354 AS"
"Tsoléi","Héle Vái of the Blue Cove","H","Pirate-Sailor-Soldier","Unk","Unk","Unk","2360 AS"
"Tsoléi","Hú-Shá-Gsh","Shén","Soldier","Shén","Unk","Unk","2360 AS"
"Tsoléi","Ka'o of Dlakelné Isle","H","Pirate-Sailor","Unk","Unk",32,"2354 AS"
"Tsoléi","Lékko of Blue Water Bay","H","Unk","Unk","Unk","Unk","2367 AS"
"Tsoléi","Mí'a of the Pale Mist Pool","H","Ecclesiarch (Hólis Isle)","?","Dual Gods","Unk","2367 AS"
"Tsoléi","Neigá of the Sandspit Mansion","H","Unk","Unk","Unk","Unk","2367 AS"
"Tsoléi","Ré of the Isle of Stones","H","Ruler (City of Khu'ú, Ku'úl Isle)","Unk","Unk","Unk","2360 AS"
"Tsoléi","Shá-Kn-Hr","Shén","Soldier","Shén","Unk","Unk","2360 AS"
"Tsoléi","Síga of Nársha (Brákel Isle)","H","Ruler-Pirate","Unk","Unk","Unk","2360 AS"
"Tsoléi","Tr-Hss","Shén","Soldier","Shén","Unk","Unk","2360 AS"
"Tsoléi","Túma of the Wind Cave","H","Pirate-Sailor-Soldier","Unk","Unk","Unk","2360 AS"
"Tsoléi","Tutlámish Arrimúda (Mu'ugalavyáni)","H","Sailor-Soldier","Unk","Unk","Unk","2360 AS"
"Tsoléi","Válla of the Portal","H","Ruler (Dlú'mir Isle)-Pirate-General","Unk","Unk","Unk","2360 AS"
"Tsoléi","Vrú of the Red Rock House","H","Pirate-Guerrilla Leader (Llürúra Isle)","Unk","Unk","Unk","2360 AS"
"Tsoléi","Yeméa Dalési","H","Pirate-Sailer-Soldier (Khrüsha Isle)","Unk","Unk","Unk","2360 AS"
"Tsolyáni","Abáshu hiKekkél","H","Priest","Change","Chiténg",39,"2376 AS"
"Tsolyáni","Abasudaste hiMeshi","H","Coutesan","Change","Hriháyal","Unk","2354 AS"
"Tsolyáni","Achán","H","Protector ","Unk","Unk","Unk","2372 AS"
"Tsolyáni","Achán hiTlaste (formerly hiSayanu)","H","Unk","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Achán hiArusá","H","Big Game Hunter","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Achán hiHetkune","H","Unk","Change","Sárku",32,"2354 AS"
"Tsolyáni","Achán hiRírutla","H","Clan Master","Stability","Hnálla",25,"2370 AS"
"Tsolyáni","Achán hiSayanu","H","Unk","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Achán hiTuplángte","H","Soldier","Change","Sárku","Unk","2354 AS"
"Tsolyáni","Achán hiZnáyu","H","Sailor","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Achán hiVraisanu","H","Weapon Master","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Acka'sa hiMiridame","H","Official","Stability","Karakán",53,"2354 AS"
"Tsolyáni","Adlár hiFershéna","H","Retired Imperial Messenger","Stability","Karakán","Unk","2354 AS"
"Tsolyáni","Adlár hiKhursa","H","Priest","Change","Sárku",23,"2354 AS"
"Tsolyáni","Aden hiSarel","H","Unk","Unk","Unk",32,"2354 AS"
"Tsolyáni","Adonai hiKorokól","H","Official","Unk","Unk",32,"2354 AS"
"Tsolyáni","Adsulana hiAsuaz","H","Clan Mistress","Stability","Chegárra",23,"2347 AS"
"Tsolyáni","Adsulana Tlakotáni","H","Princess","Unk","Unk","Unk","2369 AS"
"Tsolyáni","A'en hiTánkolel","H","Lady","Change","Vimúhla",16,"2354 AS"
"Tsolyáni","Aenon hiKétkolel","H","Priest","Stability","Thúmis","Unk","2354 AS"
"Tsolyáni","Ahan hiBasrim","H","Unk","Unk","Unk","Unk","2369 AS"
"Tsolyáni","Ah Ti Ko","H","Unk","Stability","Mrettén",18,"2354 AS"
"Tsolyáni","Ahwazh","H","Unk","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Aijom hiUsená","H","Merchant","Stability","Karakán","Unk","2354 AS"
"Tsolyáni","Aikolen hiMeshá","H","Priest","Stability","Avánthe",31,"2354 AS"
"Tsolyáni","Aikunar hiKurúshma","H","Priest","Change","Vimúhla",34,"2354 AS"
"Tsolyáni","Ailia hiMarisayu","H","Unk","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Ailun hiChaisa","H","Unk","Unk","Unk",32,"2354 AS"
"Tsolyáni","Ailyn hiJneshmu","H","Clan Mistress","Stability","Avánthe",39,"2354 AS"
"Tsolyáni","Ainé","H","Lady","Unk","Unk","Unk","2360 AS"
"Tsolyáni","A'is hiOtonu","H","Major Domo","Change","Vimúhla",49,"2354 AS"
"Tsolyáni","Aisun hiTargune","H","Sorcerer","Change","Vimúhla",68,"2354 AS"
"Tsolyáni","Aiyeya hi?","H","Matriarch","Stability","Avánthe",50,"2354 AS"
"Tsolyáni","Aiylyn hiVíridun","H","Priestess","Change","Hrü'ú",19,"2354 AS"
"Tsolyáni","Ajái hiVáisoner","H","Priest","Change","Ksárul","Unk","2354 AS"
"Tsolyáni","Ajái Vríddi","H","Priest","Change","Chiténg",35,"2354 AS"
"Tsolyáni","Ajanu hiMralsa","H","Soldier-Priest","Stability","Belkhánu","Unk","2354 AS"
"Tsolyáni","Ajjnái Teshkúma","H","False Emperor","Unk","Unk","Unk","445 AS"
"Tsolyáni","Akan hiKétkolel","H","Soldier","Stability","Karakán","Unk","2354 AS"
"Tsolyáni","Akan hiMeshuné","H","Famous Scribe","Unk","Unk","Unk","2319 AS"
"Tsolyáni","Akkarin hi?","H","Temple Guard","Change","Hriháyal","Unk","2354 AS"
"Tsolyáni","Mruoz hiBauyene","H","Clan Master","Stability","Hnálla",40,"2354 AS"
"Tsolyáni","Aknállu hiHketoketl","H","Priest","Stability","Keténgku","Unk","2369 AS"
"Tsolyáni","Aknállu hiTikéshmu","H","Priest","Stability","Hnálla",38,"2354 AS"
"Tsolyáni","Akonél hiSsáivra","H","Priest","Stability","Hnálla","Unk","2364 AS"
"Tsolyáni","Ákoleng hiChunmíyel","H","Priestess","Stability","Hnálla",58,"2354 AS"
"Tsolyáni","Ale'r hiKarodla","H","Warrior","Change","Hrü'ú",27,"2354 AS"
"Tsolyáni","Alesmu hiChákanu","H","Soldier","Change","Vimúhla",23,"2354 AS"
"Tsolyáni","Aletheya hiSénkolum","H","Priestess","Change","Ksárul",28,"2354 AS"
"Tsolyáni","Aléya Tlakotáni","H","Empress, 1872-1931 AS","Stability","Avánthe","Unk","1872 AS"
"Tsolyáni","Alíka hiMordávra","H","Unk","Unk","Unk","Unk","2364 AS"
"Tsolyáni","Aliná hiNakkodái","H","Priestess","Change","Vimúhla",32,"2354 AS"
"Tsolyáni","Aliná hiVráisu","H","Good Clan Woman (Former Priestess)","Stability","Avánthe","Unk","2369 AS"
"Tsolyáni","Alkódla hiArusá","H","Official","Change","Wurú",36,"2354 AS"
"Tsolyáni","Alku hiBayur","H","Soldier","Change","Vimúhla",32,"2354 AS"
"Tsolyáni","Allahinu hi?","H","Warrior-Priest","Stability","Chegárra",29,"2354 AS"
"Tsolyáni","Al-Lán Tanniam hiBalam","H","Lay Priest","Stability","Thúmis",34,"2347 AS"
"Tsolyáni","Alü hiCháisha","H","Unk","Unk","Unk","Unk","2354 AS"
"Mu'ugalavyá","Alyána Desátl","H","Unk","Unk","Unk","Unk","2360 AS"
"Mu'ugalavyá","Hurusamish Satlena","H","Lord","Change","Unk","Unk","2354 AS"
"Tsolyáni","Al'zolam hiBasrim","H","Lay Priest","Stability","Karakán",20,"2347 AS"
"Tsolyáni","Amáru hiVáisoner","H","Former Sailor","Unk","Unk",54,"2354 AS"
"Tsolyáni","Amé hiCháika","H","Young Girl","Unk","Unk","Unk","2360 AS"
"Tsolyáni","Amilesha hiSankyu","H","Priestess","Stability","Dilinála",32,"2354 AS"
"Tsolyáni","Amíya hiSsáivra","H","Lady","Unk","Unk","Unk","2374 AS"
"Tsolyáni","Ámkhon Beqf","N'lüs","Priest","Change","Vimúhla","30's","2354 AS"
"Tsolyáni","Andar Luronis","H","Scribe","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Anér hiTlángtel","H","Unk","Unk","Unk","Unk","2370 AS"
"Tsolyáni","Angredai hiBasrimkoi","H","Clan Elder","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Anka'á hiQolyélmu","H","Priestess","Change","Dlamélish",16,"2360 AS"
"Tsolyáni","Antú hiAgnásh","H","Temple Guard","Change","Chiténg","Unk","2354 AS"
"Tsolyáni","Anushin of Koylugá","H","Intelligence Agent (Den/ Profitable Joy)","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Aómu Séru hiSafénya","H","Priest","Change","Ksárul",48,"2354 AS"
"Tsolyáni","Aosésna hi?","H","Soldier","Unk","Unk","Unk","1325 AS"
"Tsolyáni","Aqirúng hiUlél","H","Priest-Dentist","Stability","Keténgku",36,"2354 AS"
"Tsolyáni","Arái hiSsáivra","H","Lord","Unk","Unk","Unk","2360 AS"
"Tsolyáni","Araken hiArusa","H","Official","Stability","Thúmis",62,"2354 AS"
"Tsolyáni","Archune hiTlanmera","H","Official","Stability","Keténgku",55,"2354 AS"
"Tsolyáni","Arekoyani hiNimosa","H","Priestess","Change","Dlamélish","Unk","2354 AS"
"Tsolyáni","Areli Turugdashen hiFesrengála","H","Dedaratkoi","Stability","Thúmis","Unk","2369 AS"
"Tsolyáni","Áreli hiRánmiyel","H","Hmá herder","Unk","Unk","Unk","2376 AS"
"Tsolyáni","Areli hiUsena","H","Lay Priestess","Stability","Thúmis","Unk","2372 AS"
"Tsolyáni","Arésmu hiAmiyála","H","Poet","Unk","Unk","Unk","976 AS"
"Tsolyáni","Aresu hiShavry","H","Soldier","Change","Sárku",32,"2354 AS"
"Tsolyáni","Arija Dno","H","Unk","Unk","Unk",21,"2354 AS"
"Tsolyáni","Arijan hiSamvara","H","OAL Agent","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Arimála Tlakotáni","H","Princess","Stability","Avánthe",16,"2357 AS"
"Tsolyáni","Arínu Vríddi","H","Clan Elder","Change","Vimúhla","Unk","2354 AS"
"Tsolyáni","Arísa hiDlekutál","H","Priestess","Stability","Thúmis","Unk","2354 AS"
"Tsolyáni","Arísa hiSsáivra","H","Unk","Change","Vimúhla",32,"2354 AS"
"Tsolyáni","Arítl hiBashúvra","H","Executioner","Change","Chiténg","Unk","2360 AS"
"Tsolyáni","Arizáshte hiChaishyáni","H","Priest","Stability","Karakán",44,"2374 AS"
"Tsolyáni","Arján hiTéshku","H","Priest","Stability","Belkhánu",32,"2354 AS"
"Tsolyáni","Arjásu hi?","H","Soldier","Change","Vimúhla","Unk","2361 AS"
"Tsolyáni","Arjaí hiVáisoner","H","Priest","Change","Ksárul","Unk","2367 AS"
"Tsolyáni","Arjuan hiDaránu","H","Scribe","Stability","Thúmis","Unk","2360 AS"
"Tsolyáni","Arjutmé hiMirikétme","H","Priest","Change","Hrü'ú",54,"2354 AS"
"Tsolyáni","Arkhan hiKétkolel","H","Soldier","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Arkháne hiKétkolel","H","Unk","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Arkháne hiPurushqé","H","Lord-Soldier","Stability","Belkhánu",32,"2354 AS"
"Tsolyáni","Arkhaz","H","Warrior","Shadow","Unk","Unk","2360 AS"
"Tsolyáni","Arkho hiTaika","H","Official","Stability","Avánthe",40,"2354 AS"
"Tsolyáni","Arkin hiSengele","H","Priest","Stability","Avánthe",44,"2354 AS"
"Tsolyáni","Arko hi?","H","Servant","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Arkodai hi?","H","Poet","Stability","Belkhánu",32,"2354 AS"
"Tsolyáni","Arksa hiVayka","H","Priest","Change","Ksárul","Unk","2354 AS"
"Tsolyáni","Arkún hiMeshuné","H","Famous Scribe","Unk","Unk","Unk","2319 AS"
"Tsolyáni","Arkut hiFershena","H","Official","Unk","Unk",51,"2354 AS"
"Tsolyáni","Arkutu hiKogush","H","Clan Guard","Stability","Avánthe","Unk","2354 AS"
"Tsolyáni","Árkútu hiKúrodu","H","Priest-Soldier","Change","Sárku",32,"2354 AS"
"Tsolyáni","Arkutu hiTresal","H","Temple Guard","Change","Chiténg","Unk","2369 AS"
"Tsolyáni","Arkutu hiTukun","H","Unk","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Arlúa hiSarrán","H","Marék bodyguard","Unk","Unk","Unk","2374 AS"
"Tsolyáni","Arlúa hiSarsan","H","Priestess","Change","Dlamélish",23,"2354 AS"
"Tsolyáni","Armékh hiNarkoná","H","Soldier","Change","Vimúhla","Unk","2374 AS"
"Tsolyáni","Arodái Nikúma Tlakotáni","H","Emperor, 641-709 AS","Unk","Unk","Unk","641 AS"
"Tsolyáni","Arsála hiChagotlékka","H","Sorceress, Bodyguard to Prince Mirusíya","Change","Vimúhla","Unk","2361 AS"
"Tsolyáni","Arsuél hiTekéshmu","H","None","Unk","Unk",1,"2375 AS"
"Tsolyáni","Arshú'u Tlakotáni","H","Emperor, 2234-2291 AS","Unk","Unk","Unk","2234 AS"
"Tsolyáni","Arsula hiChagorlékka","H","Priestess","Change","Vimúhla",33,"2354 AS"
"Tsolyáni","Arsunu hiViritle","H","Priest","Stability","Chegárra","Unk","2354 AS"
"Tsolyáni","Artékh hiAmiyála","H","Official","Stability","Unk","Unk","1210 AS"
"Tsolyáni","Artú hiKársha","H","Guardsman","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Artukka hiVraisu","H","Clan Master","Unk","Unk","Unk","2369 AS"
"Tsolyáni","Artuzhá hiMriyatláku","H","Retired Soldier","Stability","Karakán",40,"2354 AS"
"Tsolyáni","Arukán hiMehté","H","Priest","Change","Grugánu","Unk","2354 AS"
"Tsolyáni","Arúken hiArusá","H","Official","Stability","Thúmis","Unk","2374 AS"
"Tsolyáni","Arúken hiArusá","H","Priest","Stability","Avánthe","Unk","2354 AS"
"Tsolyáni","Aruja","Srámu","Underworld Hunter","Srámu","Unk","Unk","2354 AS"
"Tsolyáni","Arumél hiChánkolel","H","Lord-Soldier","Stability","Unk","Unk","2374 AS"
"Tsolyáni","Arundómu hiFershéna","H","Underworld Explorer","Unk","Unk","Unk","2310 AS"
"Tsolyáni","Arun hiChorkhai","H","Priest","Change","Vimúhla",19,"2354 AS"
"Tsolyáni","Arun hiChusel","H","Warrior","Change","Hrü'ú",32,"2354 AS"
"Tsolyáni","Aruonmu hiSsánmirin","H","Soldier","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Arutlun hiKangmra","H","Soldier","Change","Sárku",32,"2354 AS"
"Tsolyáni","Aryela hiValsur","H","Lady","Change","Hrü'ú",23,"2354 AS"
"Tsolyáni","Arvonmu hiSsánmirin","H","Soldier","Stability","Avánthe",53,"2354 AS"
"Tsolyáni","Aeutlun hiKangmra","H","Soldier","Change","Sárku",32,"2354 AS"
"Tsolyáni","Asan hi?","H","Warrior","Change","Vimúhla",32,"2354 AS"
"Tsolyáni","Asau Tlakotáni","H","Lady","Unk","Unk",35,"2354 AS"
"Tsolyáni","Ase'a hiMurunel","H","Priestess","Change","Dlamélish",32,"2354 AS"
"Tsolyáni","Ashqó hiVrayússa","H","Official","Unk","Unk","Unk","196 AS"
"Tsolyáni","Ashiyan hiValsur","H","Lady","Change","Hrü'ú",19,"2354 AS"
"Tsolyáni","Ashmái hiChélekem","H","Courtesan","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Ashóretl Tikása Tlakotáni","H","Emperor, 384-444 AS","Unk","Unk","Unk","384 AS"
"Tsolyáni","Ashiyan hiVulsur","H","Lady","Change","Hrü'ú",32,"2354 AS"
"Tsolyáni","Asu hi?","H","Priestess","Change","Vimúhla",32,"2354 AS"
"Tsolyáni","Asun hiMeshmuru","H","Sailor","Unk","Unk",32,"2354 AS"
"Tsolyáni","Asuna hi?","H","Priestess","Change","Dlamélish",32,"2354 AS"
"Tsolyáni","Atqipal hi?","H","Cartographer","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Atsaban Íto","H","Official","Change","Sárku",45,"2354 AS"
"Tsolyáni","Aunesu hiKurúshma","H","Warrior-Priest","Change","Vimúhla",40,"2354 AS"
"Tsolyáni","Auvqel hiViridáme","H","Lay Priest","Stability","Thúmis","Unk","2354 AS"
"Tsolyáni","Aváyu ""Dlajál"" hiJalchéma","H","Aridáni Gambler","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Avéya hiBurútla","H","Official","Unk","Unk","Unk","2360 AS"
"Tsolyáni","Avuké'e Jumrigáni hiChalchái","H","Head of Lineage (Chakás)","Unk","Unk","Unk","2354 AS"
"Tsolyáni","Ayél hiNétkolun","H","Priestess","Stability","Dilinála","Unk","2360 AS"
